,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
0,m1.56_feh1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[24083845.59485773, 2567393400.143228]","[4906.414771381172, 7202.857850861053]",True,True,exponential + exponential,True,0.0001147127855845835,0.0008743350380133741,m1.56_feh1.5_MLT1.9_fov0.018.gpdict,m1.56_feh1.5_MLT1.9_fov0.018.gpdata
1,m1.08_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[66464441.20400558, 9866255377.76438]","[4717.786545876584, 5909.737026871586]",True,True,exponential + exponential,True,0.00016741443549004358,0.0019649169909057296,m1.08_feh2.0_MLT1.9_fov0.018.gpdict,m1.08_feh2.0_MLT1.9_fov0.018.gpdata
2,m1.17_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[39573716.83990301, 5291714249.392337]","[4992.003165774397, 6660.615430660154]",True,True,exponential + exponential,True,7.792783919662194e-05,0.0008464575728731605,m1.17_feh-2.5_MLT1.9_fov0.018.gpdict,m1.17_feh-2.5_MLT1.9_fov0.018.gpdata
3,m1.34_feh4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[40426982.5336497, 4952341522.547099]","[4765.006102032118, 6305.339361116207]",True,True,exponential + exponential,True,0.00022494141002381206,0.0022377839062359683,m1.34_feh4.0_MLT1.9_fov0.018.gpdict,m1.34_feh4.0_MLT1.9_fov0.018.gpdata
4,m1.36_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[23119218.27106051, 2705597936.6305966]","[5180.3791785562125, 7801.626434514231]",True,True,exponential + exponential,True,8.269554102514686e-05,0.0008054810763931108,m1.36_feh-4.5_MLT1.9_fov0.018.gpdict,m1.36_feh-4.5_MLT1.9_fov0.018.gpdata
5,m1.4_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[25249525.33181497, 2912704493.527725]","[5060.599671570463, 7333.2961396084875]",True,True,exponential + exponential,True,0.0001201058594472919,0.0010365822055756757,m1.4_feh-2.0_MLT1.9_fov0.018.gpdict,m1.4_feh-2.0_MLT1.9_fov0.018.gpdata
6,m1.0_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[55929425.98897587, 8013368723.866723]","[5053.543418866781, 6471.010263905917]",True,True,exponential + exponential,True,7.768635170633082e-05,0.0008854506297818476,m1.0_feh-4.5_MLT1.9_fov0.018.gpdict,m1.0_feh-4.5_MLT1.9_fov0.018.gpdata
7,m1.74_feh-3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[14343179.488950774, 1376573686.0794609]","[5516.396396603432, 9247.696973978691]",True,True,exponential + exponential,True,0.00013910168422119073,0.0017799764733327783,m1.74_feh-3.0_MLT1.9_fov0.018.gpdict,m1.74_feh-3.0_MLT1.9_fov0.018.gpdata
8,m1.16_feh-4.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[34415408.00708991, 4713718795.490345]","[5077.4584931084755, 6928.167154274455]",True,True,exponential + exponential,True,0.00010841185929324904,0.0009560506975397898,m1.16_feh-4.5_MLT1.9_fov0.018.gpdict,m1.16_feh-4.5_MLT1.9_fov0.018.gpdata
9,m1.59_feh-1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[20255544.750908423, 2042067528.282086]","[4874.338320995132, 8002.738960429937]",True,True,exponential + exponential,True,0.0001926543047794948,0.002269419505798731,m1.59_feh-1.0_MLT1.9_fov0.018.gpdict,m1.59_feh-1.0_MLT1.9_fov0.018.gpdata
