,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
0,m0.83_feh0.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[124522508.27987312, 23562128626.564133]","[3.3825148328785515, 4.626317440864513]",True,True,matern12,False,5.222674651882789e-05,0.00010423477179910545,m0.83_feh0.5_MLT1.9_fov0.018.gpdict,m0.83_feh0.5_MLT1.9_fov0.018.gpdata
1,m1.78_feh-4.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[13074298.064049542, 1223165996.0953572]","[3.3338055342818733, 4.454869053109337]",True,True,matern12,False,4.6597230089421137e-05,0.00021077040618233678,m1.78_feh-4.0_MLT1.9_fov0.018.gpdict,m1.78_feh-4.0_MLT1.9_fov0.018.gpdata
2,m1.74_feh-3.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[14343179.488950774, 1376573686.0794609]","[3.4005830380895383, 4.421783452770927]",True,True,matern12,False,8.359542143894176e-05,0.0008687741200750776,m1.74_feh-3.0_MLT1.9_fov0.018.gpdict,m1.74_feh-3.0_MLT1.9_fov0.018.gpdata
3,m1.85_feh4.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[17559530.320394706, 1734084266.9651964]","[3.2089807455696078, 4.235796819917737]",True,True,matern12,False,0.00013409748202328542,0.0004972521784105122,m1.85_feh4.0_MLT1.9_fov0.018.gpdict,m1.85_feh4.0_MLT1.9_fov0.018.gpdata
4,m1.56_feh-4.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[16214008.12122719, 1726567533.672318]","[3.204843689088709, 4.4450597554527285]",True,True,matern12,False,5.0462706178654946e-05,0.00030835528297878945,m1.56_feh-4.5_MLT1.9_fov0.018.gpdict,m1.56_feh-4.5_MLT1.9_fov0.018.gpdata
5,m1.32_feh1.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[36890023.2673612, 4591972418.631341]","[3.321241901971532, 4.3618620448778485]",True,True,matern12,False,3.158057861836777e-05,0.0001985646548354758,m1.32_feh1.5_MLT1.9_fov0.018.gpdict,m1.32_feh1.5_MLT1.9_fov0.018.gpdata
6,m0.95_feh1.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[86808923.61686139, 15017523214.62541]","[3.2295771442980667, 4.5754452916757735]",True,True,matern12,False,2.3493176300923225e-05,5.499921237545058e-05,m0.95_feh1.0_MLT1.9_fov0.018.gpdict,m0.95_feh1.0_MLT1.9_fov0.018.gpdata
7,m1.53_feh3.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[27133417.84148545, 2996605163.309264]","[3.2394760357268413, 4.274995985569362]",True,True,matern12,False,7.48828178663419e-05,0.0004544693046998338,m1.53_feh3.0_MLT1.9_fov0.018.gpdict,m1.53_feh3.0_MLT1.9_fov0.018.gpdata
8,m1.16_feh4.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[59406450.96573224, 8409574828.960264]","[3.2632842651085117, 4.4661506989148005]",True,True,matern12,False,3.899694521655755e-05,0.00021853246408887195,m1.16_feh4.0_MLT1.9_fov0.018.gpdict,m1.16_feh4.0_MLT1.9_fov0.018.gpdata
9,m1.5_feh5.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[30397673.63075505, 3385315582.558071]","[3.225769229687245, 4.278617111373632]",True,True,matern12,False,7.330069428452112e-05,0.0008112193181513128,m1.5_feh5.0_MLT1.9_fov0.018.gpdict,m1.5_feh5.0_MLT1.9_fov0.018.gpdata
10,m1.17_feh-2.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[39573716.83990301, 5291714249.392337]","[3.1786999309119786, 4.430098159196208]",True,True,matern12,False,3.9466467622807025e-05,0.0002950917867901026,m1.17_feh-2.5_MLT1.9_fov0.018.gpdict,m1.17_feh-2.5_MLT1.9_fov0.018.gpdata
11,m1.71_feh-5.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[13047745.619403355, 1319010883.5260675]","[3.3091737941198773, 4.4739801709512355]",True,True,matern12,False,5.1128452307882516e-05,0.0005348592109704065,m1.71_feh-5.0_MLT1.9_fov0.018.gpdict,m1.71_feh-5.0_MLT1.9_fov0.018.gpdata
12,m1.84_feh3.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[16871389.384295218, 1679588500.4325266]","[3.1407526758605187, 4.259255963184028]",True,True,matern12,False,0.00012881679990351045,0.0003738704139873428,m1.84_feh3.0_MLT1.9_fov0.018.gpdict,m1.84_feh3.0_MLT1.9_fov0.018.gpdata
13,m0.94_feh1.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[96991187.9188479, 15754615925.991528]","[3.19418246070965, 4.564005320036689]",True,True,matern12,False,2.963089875813012e-05,0.00013694130685615313,m0.94_feh1.0_MLT1.9_fov0.018.gpdict,m0.94_feh1.0_MLT1.9_fov0.018.gpdata
14,m1.32_feh-0.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[31767170.545383707, 3933502006.3766813]","[3.294261590382342, 4.358032063679964]",True,True,matern12,False,3.455341767759899e-05,0.0003684423200983611,m1.32_feh-0.5_MLT1.9_fov0.018.gpdict,m1.32_feh-0.5_MLT1.9_fov0.018.gpdata
15,m1.36_feh-4.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[23119218.27106051, 2705597936.6305966]","[3.241983667088004, 4.410833740566479]",True,True,matern12,False,3.234921799973941e-05,0.00027588716417314973,m1.36_feh-4.5_MLT1.9_fov0.018.gpdict,m1.36_feh-4.5_MLT1.9_fov0.018.gpdata
16,m1.29_feh2.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[40386045.36338472, 5142553559.31646]","[3.318860375534035, 4.379471862475492]",True,True,matern12,False,3.389402941589428e-05,0.00015454975626372214,m1.29_feh2.0_MLT1.9_fov0.018.gpdict,m1.29_feh2.0_MLT1.9_fov0.018.gpdata
17,m1.58_feh-1.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[19446570.49739425, 2004478578.8248649]","[3.1330433214915874, 4.361140167722262]",True,True,matern12,False,5.8948519534973275e-05,0.0004464322679608168,m1.58_feh-1.5_MLT1.9_fov0.018.gpdict,m1.58_feh-1.5_MLT1.9_fov0.018.gpdata
18,m1.51_feh1.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[25456877.06061907, 2776636160.667493]","[3.2875970401314123, 4.293375466701079]",True,True,matern12,False,6.926970528945964e-05,0.0005127734034990894,m1.51_feh1.0_MLT1.9_fov0.018.gpdict,m1.51_feh1.0_MLT1.9_fov0.018.gpdata
19,m1.56_feh1.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[24083845.59485773, 2567393400.143228]","[3.2459737116491802, 4.282782856705773]",True,True,matern12,False,5.224645370427879e-05,0.0003424426726622576,m1.56_feh1.5_MLT1.9_fov0.018.gpdict,m1.56_feh1.5_MLT1.9_fov0.018.gpdata
20,m1.58_feh2.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[24592093.95313653, 2616171599.4465733]","[3.1998333752574863, 4.266750496291498]",True,True,matern12,False,5.161285464726644e-05,0.00028614848429042716,m1.58_feh2.5_MLT1.9_fov0.018.gpdict,m1.58_feh2.5_MLT1.9_fov0.018.gpdata
21,m1.85_feh0.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[14526618.344935587, 1390855149.3493698]","[3.4231840790557784, 4.343978406763609]",True,True,matern12,False,0.00010450794711780909,0.0013564501402613116,m1.85_feh0.0_MLT1.9_fov0.018.gpdict,m1.85_feh0.0_MLT1.9_fov0.018.gpdata
22,m1.98_feh-3.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[10716444.194900887, 971321783.9891039]","[3.2742687524653284, 4.434672817571864]",True,True,matern12,False,8.816292437691559e-05,0.00037014298514803645,m1.98_feh-3.0_MLT1.9_fov0.018.gpdict,m1.98_feh-3.0_MLT1.9_fov0.018.gpdata
23,m1.51_feh-2.5_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[20954511.01376261, 2180894805.167767]","[3.237517440889941, 4.377109671508029]",True,True,matern12,False,6.739694772637313e-05,0.0007085385170669811,m1.51_feh-2.5_MLT1.9_fov0.018.gpdict,m1.51_feh-2.5_MLT1.9_fov0.018.gpdata
24,m1.49_feh-2.0_MLT1.9_fov0.018,star_age,log_g,False,False,False,"[22821059.62365618, 2355293365.0950475]","[3.3033796137432114, 4.3587194066698025]",True,True,matern12,False,8.297685011999363e-05,0.0008318086501642201,m1.49_feh-2.0_MLT1.9_fov0.018.gpdict,m1.49_feh-2.0_MLT1.9_fov0.018.gpdata
