,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
0,m1.74_feh-3.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[14343179.488950785, 1376573686.079462]","[321.5446386797711, 1654.6082584295636]",True,True,matern12,False,0.0002296179521608464,0.006124885042131489,m1.74_feh-3.0_MLT1.9_fov0.018.gpdict,m1.74_feh-3.0_MLT1.9_fov0.018.gpdata
1,m1.0_feh-4.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[55929425.988975815, 8013368723.866718]","[246.10969250420197, 2586.8896291858196]",True,True,matern12,False,0.00019256408285195172,0.0035896971303486236,m1.0_feh-4.5_MLT1.9_fov0.018.gpdict,m1.0_feh-4.5_MLT1.9_fov0.018.gpdata
2,m1.17_feh-2.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[39573716.839903004, 5291714249.392342]","[236.54908225113468, 2052.9043411955336]",True,True,matern12,False,3.667239772616157e-05,0.0003388127942596242,m1.17_feh-2.5_MLT1.9_fov0.018.gpdict,m1.17_feh-2.5_MLT1.9_fov0.018.gpdata
3,m1.27_feh-5.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[27196201.810080495, 3260504762.9830422]","[230.96266748370303, 1818.9639450152445]",True,True,matern12,False,0.0002229089265312554,0.009515151551775736,m1.27_feh-5.5_MLT1.9_fov0.018.gpdict,m1.27_feh-5.5_MLT1.9_fov0.018.gpdata
4,m1.78_feh-4.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[13074298.064049542, 1223165996.095358]","[284.77044072255586, 1738.8204181262015]",True,True,matern12,False,0.00018574795469936248,0.003957673117200966,m1.78_feh-4.0_MLT1.9_fov0.018.gpdict,m1.78_feh-4.0_MLT1.9_fov0.018.gpdata
5,m1.51_feh-2.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[20954511.01376262, 2180894805.1677704]","[246.45525962791237, 1594.1748554832946]",True,True,matern12,False,0.00010765286567195605,0.0018726629423722607,m1.51_feh-2.5_MLT1.9_fov0.018.gpdict,m1.51_feh-2.5_MLT1.9_fov0.018.gpdata
6,m1.36_feh-4.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[23119218.27106053, 2705597936.630597]","[255.007689334225, 1733.5537998141826]",True,True,matern12,False,0.0002324794571310222,0.012533517124583837,m1.36_feh-4.5_MLT1.9_fov0.018.gpdict,m1.36_feh-4.5_MLT1.9_fov0.018.gpdata
7,m1.29_feh2.0_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[40386045.363384716, 5142553559.316468]","[294.9541554249361, 1855.9334859590929]",True,True,matern12,False,0.00011595331715905753,0.006209347577420199,m1.29_feh2.0_MLT1.9_fov0.018.gpdict,m1.29_feh2.0_MLT1.9_fov0.018.gpdata
8,m0.91_feh-4.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[72937849.21362007, 11353767682.157759]","[245.42629551768462, 2960.05799055795]",True,True,matern12,False,4.9821441329742475e-05,0.0023645103984348825,m0.91_feh-4.5_MLT1.9_fov0.018.gpdict,m0.91_feh-4.5_MLT1.9_fov0.018.gpdata
9,m1.58_feh-1.5_MLT1.9_fov0.018,star_age,nu_0_15,False,False,False,"[19446570.497394256, 2004478578.8248615]","[202.63286226825392, 1534.205906601308]",True,True,matern12,False,0.00010363232236955993,0.0031473631210114372,m1.58_feh-1.5_MLT1.9_fov0.018.gpdict,m1.58_feh-1.5_MLT1.9_fov0.018.gpdata
