,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
0,m1.73_feh4.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[2070196279.7534847, 2114565770.9019945]","[183.5184489399041, 286.408906481023]",True,True,matern32,False,0.004663568456717152,0.013926944722017609,m1.73_feh4.0_MLT1.9_fov0.018.gpdict,m1.73_feh4.0_MLT1.9_fov0.018.gpdata
1,m1.84_feh3.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[1645827028.7394533, 1679588500.4325285]","[165.22829572941353, 271.42975429420926]",True,True,matern32,False,0.0003031619709679127,0.001343861058854423,m1.84_feh3.0_MLT1.9_fov0.018.gpdict,m1.84_feh3.0_MLT1.9_fov0.018.gpdata
2,m1.32_feh1.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[4179559279.5614676, 4591972418.631339]","[315.4330700454586, 413.7166029160508]",True,True,matern32,False,0.00010568356707301403,0.0010682085850500789,m1.32_feh1.5_MLT1.9_fov0.018.gpdict,m1.32_feh1.5_MLT1.9_fov0.018.gpdata
3,m1.4_feh-2.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[2654234612.3079786, 2905245632.7188396]","[241.60214285061323, 398.89233950736013]",True,True,matern32,False,0.0005059118980126935,0.0012824913053152143,m1.4_feh-2.0_MLT1.9_fov0.018.gpdict,m1.4_feh-2.0_MLT1.9_fov0.018.gpdata
4,m1.26_feh3.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[5543775812.582232, 5935651533.426219]","[355.57572571790064, 417.89271379154485]",True,True,matern32,False,0.00011492306499282083,0.0004438364896306446,m1.26_feh3.0_MLT1.9_fov0.018.gpdict,m1.26_feh3.0_MLT1.9_fov0.018.gpdata
5,m1.71_feh-2.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[1541448259.9241357, 1563540724.710984]","[158.15689835308862, 256.56025039485735]",True,True,matern32,False,0.0015397673665822158,0.012536295398363428,m1.71_feh-2.0_MLT1.9_fov0.018.gpdict,m1.71_feh-2.0_MLT1.9_fov0.018.gpdata
6,m0.95_feh1.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[14451093754.504568, 15001089390.73781]","[363.9100072879216, 402.6728427982787]",True,True,matern32,False,0.0003654555952851115,0.0025386147975052786,m0.95_feh1.0_MLT1.9_fov0.018.gpdict,m0.95_feh1.0_MLT1.9_fov0.018.gpdata
7,m1.56_feh1.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[2452316484.733868, 2557853336.416802]","[218.24079084543288, 355.8078433990252]",True,True,matern32,False,0.0005847701079971544,0.006885074208227038,m1.56_feh1.5_MLT1.9_fov0.018.gpdict,m1.56_feh1.5_MLT1.9_fov0.018.gpdata
8,m1.85_feh1.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[1476089764.040171, 1497665721.1404173]","[148.17607653225235, 251.56351485374108]",True,True,matern32,False,0.0023025909627576073,0.007755265904752687,m1.85_feh1.0_MLT1.9_fov0.018.gpdict,m1.85_feh1.0_MLT1.9_fov0.018.gpdata
9,m1.71_feh-5.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[1303351685.168725, 1319010883.526068]","[176.59392454448846, 236.12613439991765]",True,True,matern32,False,0.003408811775882015,0.033157093053437586,m1.71_feh-5.0_MLT1.9_fov0.018.gpdict,m1.71_feh-5.0_MLT1.9_fov0.018.gpdata
10,m0.91_feh-5.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[10252884499.504086, 10691365099.195692]","[330.4766401899081, 391.946994868182]",True,True,matern32,False,0.00028810728010340636,0.0021352360151866145,m0.91_feh-5.5_MLT1.9_fov0.018.gpdict,m0.91_feh-5.5_MLT1.9_fov0.018.gpdata
11,m1.17_feh-2.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[4869989776.986832, 5255793577.743338]","[294.7253182113336, 398.4928984799305]",True,True,matern32,False,0.00021416681743203228,0.0010505417908139858,m1.17_feh-2.5_MLT1.9_fov0.018.gpdict,m1.17_feh-2.5_MLT1.9_fov0.018.gpdata
12,m1.51_feh-2.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[2061208792.3377628, 2172050402.86381]","[205.68347145067654, 373.9522406704667]",True,True,matern32,False,0.008861545416595989,0.025240373422813156,m1.51_feh-2.5_MLT1.9_fov0.018.gpdict,m1.51_feh-2.5_MLT1.9_fov0.018.gpdata
13,m0.86_feh-2.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[16460574302.460772, 17039358020.428875]","[368.0559281064836, 402.9093859386919]",True,True,matern32,False,0.00042317466707787185,0.00281717931091624,m0.86_feh-2.0_MLT1.9_fov0.018.gpdict,m0.86_feh-2.0_MLT1.9_fov0.018.gpdata
14,m1.46_feh-3.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[2187319847.2790766, 2330559334.5101595]","[218.03431351644866, 381.685766840977]",True,True,matern32,False,0.006203732691956443,0.01599746018405024,m1.46_feh-3.0_MLT1.9_fov0.018.gpdict,m1.46_feh-3.0_MLT1.9_fov0.018.gpdata
15,m1.58_feh-1.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[1930099852.0640068, 1996118399.1744938]","[189.47400648660394, 323.3019419006752]",True,True,matern32,False,0.0028111604994739583,0.014639715336104753,m1.58_feh-1.5_MLT1.9_fov0.018.gpdict,m1.58_feh-1.5_MLT1.9_fov0.018.gpdata
16,m1.27_feh-5.5_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[2956315529.4148793, 3226028070.2638707]","[254.32219415906656, 386.84729578023314]",True,True,matern32,False,0.00015150945637954475,0.00041507423552400446,m1.27_feh-5.5_MLT1.9_fov0.018.gpdict,m1.27_feh-5.5_MLT1.9_fov0.018.gpdata
17,m1.78_feh-4.0_MLT1.9_fov0.018,star_age,nu_1_-10,False,False,False,"[1207537891.459488, 1223165996.095358]","[169.35368755316216, 240.576597237607]",True,True,matern32,False,0.0009391197237076676,0.002573472375785202,m1.78_feh-4.0_MLT1.9_fov0.018.gpdict,m1.78_feh-4.0_MLT1.9_fov0.018.gpdata
