,evolutionary_track,x,y,x2,xlog,ylog,xrange,yrange,xnormalization,ynormalization,kname,combination,mean_deviation,max_deviation,saveGPmodel,saveGPdata
0,m0.91_feh-2.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[80657245.88732159, 13281364507.973585]","[4922.188603616057, 6002.0572224147945]",True,True,constant + exponential,True,4.274419104247075e-05,0.0005162850167546029,m0.91_feh-2.5_MLT1.9_fov0.018.gpdict,m0.91_feh-2.5_MLT1.9_fov0.018.gpdata
1,m1.1_feh1.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[62495038.02272433, 8700830037.455711]","[4654.480231025211, 5969.729575565876]",True,True,constant + exponential,True,5.7829568031869606e-05,0.00022849547849779217,m1.1_feh1.0_MLT1.9_fov0.018.gpdict,m1.1_feh1.0_MLT1.9_fov0.018.gpdata
2,m1.1_feh1.5_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[60640278.34699488, 8921817547.676823]","[4752.811339732375, 6008.178765026115]",True,True,constant + exponential,True,0.00017586170522141065,0.0004537223311795735,m1.1_feh1.5_MLT1.9_fov0.018.gpdict,m1.1_feh1.5_MLT1.9_fov0.018.gpdata
3,m0.97_feh2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[87440294.88242862, 14752688375.203903]","[4698.363154479669, 5647.633561309508]",True,True,constant + exponential,True,4.4641327188161515e-05,0.0003189367970716228,m0.97_feh2.0_MLT1.9_fov0.018.gpdict,m0.97_feh2.0_MLT1.9_fov0.018.gpdata
4,m1.27_feh-2.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[33814336.06192755, 4112817462.4826493]","[4888.180205195566, 6814.634782115326]",True,True,constant + exponential,True,8.319767912598227e-05,0.0008093763472362125,m1.27_feh-2.0_MLT1.9_fov0.018.gpdict,m1.27_feh-2.0_MLT1.9_fov0.018.gpdata
5,m0.98_feh4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[91126148.70090713, 15684043801.952316]","[4616.555746169214, 5496.023409009823]",True,True,constant + exponential,True,8.468747030477943e-05,0.0012419521276318957,m0.98_feh4.0_MLT1.9_fov0.018.gpdict,m0.98_feh4.0_MLT1.9_fov0.018.gpdata
6,m0.96_feh-4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[63271545.1792125, 9621270811.236794]","[5015.290684977133, 6313.220506131998]",True,True,constant + exponential,True,2.799564592865733e-05,0.0001716631781817357,m0.96_feh-4.0_MLT1.9_fov0.018.gpdict,m0.96_feh-4.0_MLT1.9_fov0.018.gpdata
7,m1.15_feh3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[59090743.30568719, 8359253719.094342]","[4725.594416302241, 5964.595261766228]",True,True,constant + exponential,True,0.00012854180573747842,0.001610586886525267,m1.15_feh3.0_MLT1.9_fov0.018.gpdict,m1.15_feh3.0_MLT1.9_fov0.018.gpdata
8,m1.08_feh3.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[69138960.6575724, 10436829387.265041]","[4799.494848049594, 5885.221438626178]",True,True,constant + exponential,True,5.630828751684645e-05,0.0003071217216846778,m1.08_feh3.0_MLT1.9_fov0.018.gpdict,m1.08_feh3.0_MLT1.9_fov0.018.gpdata
9,m0.91_feh4.0_MLT1.9_fov0.018,star_age,effective_T,False,False,False,"[112372439.26678067, 20645402129.545902]","[4607.138609157744, 5339.793964614013]",True,True,constant + exponential,True,8.928324036842935e-05,0.00040523245779811035,m0.91_feh4.0_MLT1.9_fov0.018.gpdict,m0.91_feh4.0_MLT1.9_fov0.018.gpdata
